url,information,subHeading
https://en.wikipedia.org/wiki/1947_in_India, Emperor of India George VI,Incumbents
https://en.wikipedia.org/wiki/1947_in_India, King of India George VI,Incumbents
https://en.wikipedia.org/wiki/1947_in_India, The Viscount Wavell,Incumbents
https://en.wikipedia.org/wiki/1947_in_India, The Viscount Mountbatten of Burma,Incumbents
https://en.wikipedia.org/wiki/1947_in_India,,Incumbents
https://en.wikipedia.org/wiki/1947_in_India, Prime Minister of India Jawaharlal Nehru,Incumbents
https://en.wikipedia.org/wiki/1947_in_India, Hindus Muslims Punjab,Events
https://en.wikipedia.org/wiki/1947_in_India,,Events
https://en.wikipedia.org/wiki/1947_in_India, Bombay Municipal Corporation Bombay Electric Supply and Transport,Events
https://en.wikipedia.org/wiki/1947_in_India, British India Dominion of India Hindu Muslim Punjab Bengal Kashmir instrument of accession Standstill Agreement Jawaharlal Nehru Prime Minister of India tricolor Red Fort,Events
https://en.wikipedia.org/wiki/1947_in_India,,Events
https://en.wikipedia.org/wiki/1947_in_India, Nehru,Events
https://en.wikipedia.org/wiki/1947_in_India, War Kashmir,Events
https://en.wikipedia.org/wiki/1947_in_India, Junagadh,Events
https://en.wikipedia.org/wiki/1947_in_India, Air India,Events
https://en.wikipedia.org/wiki/1947_in_India,,Events
https://en.wikipedia.org/wiki/1947_in_India, Jarnail Singh Bhindranwale,Births
https://en.wikipedia.org/wiki/1947_in_India, Raj Shankar biochemist,Births
https://en.wikipedia.org/wiki/1947_in_India, Salman Rushdie,Births
https://en.wikipedia.org/wiki/1947_in_India, Lalji Singh,Births
https://en.wikipedia.org/wiki/1947_in_India, Raakhee,Births
https://en.wikipedia.org/wiki/1947_in_India, Simi Garewal,Births
https://en.wikipedia.org/wiki/1947_in_India, Sukanta Bhattacharya 1926,Deaths
https://en.wikipedia.org/wiki/1947_in_India, Bollywood films of 1947,See also
